Proposal Title,Catalyst App URL,projectcatalyst.io URL that will be in the Voting App,Proposal ID,Catalyst Username,Proposer Name (as stated in the proposal),Category,Funds requested,Tags
Cardano Quest: Learn Blockchain Through Play,https://app.projectcatalyst.io/proposal/019abc5f-8e6f-7c59-ac8c-de5c7e990071?version=019ac24d-d200-775a-aa34-4acb6179ff6f,Coming on Jan 12,019abc5f-8e6f-7c59-ac8c-de5c7e990071,Bar,Bar Ben-zvi,Cardano Use Cases: Prototype & Launch,"159,000 $ADA",Education
Cardano RealFi Protocol: Trustless Financing + Engagement,https://app.projectcatalyst.io/proposal/019abbb1-6c5b-7ddd-8c7e-e3b6b5dfc0d1?version=019abd95-c938-7a68-a078-81aa1ad049a8,Coming on Jan 12,019abbb1-6c5b-7ddd-8c7e-e3b6b5dfc0d1,Reafino,Reshma Mohan,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",RWA
Cardano Research Community Latam,https://app.projectcatalyst.io/proposal/019ac3c2-be04-771a-b0bc-2e7f71030103?version=019ac3ed-0cde-70bb-958d-68ccdfc0dba3,Coming on Jan 12,019ac3c2-be04-771a-b0bc-2e7f71030103,Centro Investigación Funintec,Research Center for Innovation and Technology Funintec,Cardano Open: Ecosystem,"60,000 $ADA",Interoperability
Cardano Security Guide for Beginners,https://app.projectcatalyst.io/proposal/019a7947-0f09-76b5-a6b1-145d2c9c31f3?version=019ab702-0941-75d0-b076-c77eb781f02c,Coming on Jan 12,019a7947-0f09-76b5-a6b1-145d2c9c31f3,Cristian Nistor,Cristian Nistor,Cardano Open: Ecosystem,"59,000 $ADA",Education
Cardano Smart Contract Benchmarking & Testing Tool,https://app.projectcatalyst.io/proposal/019abb53-713a-732b-b7ab-abae63f62356?version=019abf16-98ef-717c-b3b5-1175ba7b3ff2,Coming on Jan 12,019abb53-713a-732b-b7ab-abae63f62356,Eyasu,Eyasu,Cardano Use Cases: Prototype & Launch,"87,050 $ADA",Smart Contracts
Cardano SmartAssess Identity,https://app.projectcatalyst.io/proposal/019ac357-ffe0-797d-a2f6-263571dc6d6c?version=019ac3d0-35a0-7fe2-80b1-1e31c4e060cb,Coming on Jan 12,019ac357-ffe0-797d-a2f6-263571dc6d6c,Ashish Strica,Ashish Prajapati,Cardano Use Cases: Prototype & Launch,"180,000 $ADA",Identity & Verification
Cardano SMS Wallet Standard for Remote Regions with UNDP,https://app.projectcatalyst.io/proposal/019ac28d-4ac9-7d0e-868a-bd3a21f5b420?version=019ac2dd-aafc-7980-8b1d-f01d76b114c5,Coming on Jan 12,019ac28d-4ac9-7d0e-868a-bd3a21f5b420,mll,Xcapit,Cardano Use Cases: Prototype & Launch,"135,000 $ADA",Wallet
Cardano TOP 5s | Short Form Series,https://app.projectcatalyst.io/proposal/019abfce-f324-7e1b-a883-91b79ade1262?version=019ac008-c3a1-72ca-86ef-41990dbfe096,Coming on Jan 12,019abfce-f324-7e1b-a883-91b79ade1262,smph,Shelley Mae Villarin,Cardano Open: Ecosystem,"45,000 $ADA",Education
Cardano Transaction Simulator: Visual Simulator & Debugger,https://app.projectcatalyst.io/proposal/019aac9f-0e90-7cc8-98b0-faec13f18b41?version=019abfd9-0be4-737d-af85-f1d3ce0b82ba,Coming on Jan 12,019aac9f-0e90-7cc8-98b0-faec13f18b41,Botao Gao,Botao Gao & Ziying Wang,Cardano Use Cases: Prototype & Launch,"85,000 $ADA",Developer Tools
Cardano TVET AI Hub: 100+ Wallets & On-Chain Badges,https://app.projectcatalyst.io/proposal/019ac17b-a2b4-7278-aff5-c4d46845ff3e?version=019ac1de-031b-75cb-8e48-aab3d5e11ed7,Coming on Jan 12,019ac17b-a2b4-7278-aff5-c4d46845ff3e,Emrakeb,Emrakeb Ermias,Cardano Open: Ecosystem,"60,000 $ADA",Education
Cardano Twitch Interaction Suite,https://app.projectcatalyst.io/proposal/019abfe9-93e9-7cc4-b017-64cc4a5272c5?version=019ac2c3-c2e8-70d6-85b3-a32b9987197d,Coming on Jan 12,019abfe9-93e9-7cc4-b017-64cc4a5272c5,Cardania,Cardania (Ultra Labs),Cardano Use Cases: Prototype & Launch,"90,000 $ADA",Social Media
Cardano User Onboarding & Loyalty System in DACH,https://app.projectcatalyst.io/proposal/019a91c9-d1f0-7789-9f49-dd2c15ac5b08?version=019abf59-f76d-7eba-856b-842a084feb63,Coming on Jan 12,019a91c9-d1f0-7789-9f49-dd2c15ac5b08,Wolfoden,Roman Dering,Cardano Open: Ecosystem,"60,000 $ADA",Business Services
Cardano USSD Wallet: Blockchain for African Feature Phones,https://app.projectcatalyst.io/proposal/019ac1ae-473a-789e-b217-cfd2da66a0ed?version=019ac2a7-c862-73e9-9205-987c84c311ea,Coming on Jan 12,019ac1ae-473a-789e-b217-cfd2da66a0ed,Tyty,CARDANO CENTRE NAIROBI LIMITED,Cardano Use Cases: Prototype & Launch,"110,000 $ADA",Wallet
Cardano Vietnam Builder Bootcamp: From Zero to Mainnet,https://app.projectcatalyst.io/proposal/019ac3cd-4015-79cd-acdd-52d16e071ad4?version=019ac3d5-f405-7ae9-a41a-f0c9a2115607,Coming on Jan 12,019ac3cd-4015-79cd-acdd-52d16e071ad4,Blockchain Pioneer Student,Blockchain Pioneer Student Club,Cardano Open: Ecosystem,"60,000 $ADA",Community
Cardano Warriors: 2D Playable Island & Dungeon Demo,https://app.projectcatalyst.io/proposal/019ac256-9607-7581-a5f6-05036e2a67d0?version=019ac2a1-9ce5-7872-b7a6-68e40b1509d9,Coming on Jan 12,019ac256-9607-7581-a5f6-05036e2a67d0,Alan Lengruber,Alan Soares Lengruber,Cardano Use Cases: Prototype & Launch,"180,000 $ADA",Games
Cardano WhatsApp Remittance for Indonesian Workers Abroad,https://app.projectcatalyst.io/proposal/019ac39f-15ed-7169-9882-89629a3008ce?version=019ac3d5-be25-70ca-9e62-a5f30b9fa2af,Coming on Jan 12,019ac39f-15ed-7169-9882-89629a3008ce,Habib Fabian Fahlesi,TrustBridge,Cardano Use Cases: Prototype & Launch,"15,000 $ADA",Payments
Cardano Woman Indonesia: Black Parade Campaign,https://app.projectcatalyst.io/proposal/019ac1db-eed0-7aa4-9232-fd1262064873?version=019ac211-f072-7921-a3f8-ef54ee8ad8d0,Coming on Jan 12,019ac1db-eed0-7aa4-9232-fd1262064873,Fanny Wijaya,Fanny Wijaya,Cardano Open: Ecosystem,"45,000 $ADA",Marketing
Cardano x402 Bridge Integration,https://app.projectcatalyst.io/proposal/019a8e21-ad3f-7121-a991-ba32891b5e8c?version=019a8e49-672d-7a64-be12-010c82e2ea0c,Coming on Jan 12,019a8e21-ad3f-7121-a991-ba32891b5e8c,underdogadam,Onchain.fi,Cardano Use Cases: Prototype & Launch,"60,000 $ADA",Developer Tools
Cardano’s $10T Institutional RWA Tokenization Infrastructure,https://app.projectcatalyst.io/proposal/019ac037-2c6a-7399-a4a0-a65cf757c0c7?version=019ac13a-8178-7a63-a6bb-731ff32c5c04,Coming on Jan 12,019ac037-2c6a-7399-a4a0-a65cf757c0c7,Javvad,Javvad Azam,Cardano Partners: Tier-1 Enterprise Integrations,"750,000 $ADA",Tokenization
Cardano’s Cross-Border Privacy Remittance Layer for UAE-EGY,https://app.projectcatalyst.io/proposal/019ac11c-9384-71c5-925f-094c7f870901?version=019ac18b-3f32-76d5-80da-86dbf96ead66,Coming on Jan 12,019ac11c-9384-71c5-925f-094c7f870901,Pravica,Pravica,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Financial Services
CardanoScale: SPO-Powered RPC Gateway for Cardano,https://app.projectcatalyst.io/proposal/019ac39e-b1ee-7955-8472-a20d2f051975?version=019ac3d0-aaef-7eed-aeed-a7c664c8c137,Coming on Jan 12,019ac39e-b1ee-7955-8472-a20d2f051975,Lava Network,Lava Network,Cardano Use Cases: Prototype & Launch,"185,000 $ADA",Infrastructure
CardanoTube: Semantic Search Engine for Community Media,https://app.projectcatalyst.io/proposal/019ac257-7796-7ebf-bcef-6a9ab8de02aa?version=019ac2a6-f1c0-726d-b9bf-9bc780be9c77,Coming on Jan 12,019ac257-7796-7ebf-bcef-6a9ab8de02aa,Blessey,Blessey Didla,Cardano Use Cases: Prototype & Launch,"60,000 $ADA",Developer Tools
Cardinex: ZK-Private Cardiology AI,https://app.projectcatalyst.io/proposal/019aab3e-17d5-71f6-9383-0df16be9ed02?version=019ac34e-25aa-7648-a60a-45c3536be864,Coming on Jan 12,019aab3e-17d5-71f6-9383-0df16be9ed02,Sapient,Sapient Predictive Analytics Pte Ltd,Cardano Use Cases: Prototype & Launch,"164,500 $ADA",Privacy
Catalyst Exposed: The Real Impact of 200 Funded Projects,https://app.projectcatalyst.io/proposal/019ab455-e87c-7754-8966-72b5ae9c5129?version=019ac37f-496e-7cb0-ac8f-603e794c4e88,Coming on Jan 12,019ab455-e87c-7754-8966-72b5ae9c5129,Soraya Ponce,Soraya Ponce,Cardano Open: Ecosystem,"60,000 $ADA",Governance
"Cexplorer Governance Hub: Bulk voting, AI reviews and more.",https://app.projectcatalyst.io/proposal/019ab616-ec43-73fc-8a9b-307e5baf9769?version=019ac1bc-048b-776e-9a2e-15741ff920ed,Coming on Jan 12,019ab616-ec43-73fc-8a9b-307e5baf9769,Michal_cex,Michal Urbanek,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Governance
ChainCademy × Cardano: Career Roadmap for Ecosystem Growth,https://app.projectcatalyst.io/proposal/019ab1a8-b5f3-7ec5-a362-5b36f0398bdd?version=019ab29c-6425-751a-99d3-d27980ef85d2,Coming on Jan 12,019ab1a8-b5f3-7ec5-a362-5b36f0398bdd,rafazzevedo,Rafaela Azevedo,Cardano Open: Ecosystem,"50,000 $ADA",Education
Chainlink Data Relay for Cardano DeFi (by VIA Labs),https://app.projectcatalyst.io/proposal/019ac123-1be9-7254-a9f6-602aaddb1882?version=019ac2ad-2936-7740-a65a-1516e3ccc948,Coming on Jan 12,019ac123-1be9-7254-a9f6-602aaddb1882,Cletus,VIA Labs LLC,Cardano Use Cases: Prototype & Launch,"150,000 $ADA",Cross-chain
ChainRunner: Gamified Cardano Code School,https://app.projectcatalyst.io/proposal/019aa7a1-3faf-7b53-beee-b48a79084d10?version=019ab59f-2f1d-71b2-af80-f1c07326cfd1,Coming on Jan 12,019aa7a1-3faf-7b53-beee-b48a79084d10,NewMindflow,New Mindflow,Cardano Use Cases: Prototype & Launch,"185,000 $ADA",Training
ChainSente: A Cardano Wallet for  DeFi and Mobile Money,https://app.projectcatalyst.io/proposal/019ab65f-7f2a-789e-afb9-c3319ae387ce?version=019ac106-fa12-79cd-904d-6016151b3ded,Coming on Jan 12,019ab65f-7f2a-789e-afb9-c3319ae387ce,Salm,Salm,Cardano Use Cases: Prototype & Launch,"48,000 $ADA",Lending
ChatBlock — The first AI that speaks Cardano,https://app.projectcatalyst.io/proposal/019aa5f6-ad87-7dbf-8119-945084ad3e80?version=019ac1f6-c998-762d-8ac5-6510181720f2,Coming on Jan 12,019aa5f6-ad87-7dbf-8119-945084ad3e80,CardanoYoda,Jaromir Tesar,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",AI
Chess Cardano: The First P2E Chess Platform on Cardano,https://app.projectcatalyst.io/proposal/019ac205-9f54-747a-8448-5e3bbaf881b6?version=019ac2eb-7df7-7fb4-93ed-2c0113d10e6a,Coming on Jan 12,019ac205-9f54-747a-8448-5e3bbaf881b6,devfreeguy,Daniel Olanrewaju,Cardano Use Cases: Prototype & Launch,"118,000 $ADA",Games
ChimiaDAO - Verifiable Chemistry Layer,https://app.projectcatalyst.io/proposal/019ac15c-9e1d-706b-9a2b-3bae3aaaafa9?version=019ac3da-6565-7bbf-899c-2c55f4fab995,Coming on Jan 12,019ac15c-9e1d-706b-9a2b-3bae3aaaafa9,crischimia,ChimiaDAO Foundation,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Manufacturing
Climate finance for smallholder farmers in Africa,https://app.projectcatalyst.io/proposal/019ab643-d1f4-7344-9473-d5ede0891a9b?version=019ac15f-a412-777c-aadb-a8fe18923e1d,Coming on Jan 12,019ab643-d1f4-7344-9473-d5ede0891a9b,Ayoub,Ayoub Derdabi,Cardano Use Cases: Prototype & Launch,"140,000 $ADA",Agriculture
ClimateAid: Tokenized Resilience & Early Action,https://app.projectcatalyst.io/proposal/019abd03-5800-7c10-88b9-2fdc2acb7fc0?version=019ac085-30b6-7d32-8b11-08e3cc568b62,Coming on Jan 12,019abd03-5800-7c10-88b9-2fdc2acb7fc0,Genius Tags,GeniusTags,Cardano Use Cases: Prototype & Launch,"170,000 $ADA",Financial Services
CoinCashew Guide - Core Development and Web Hosting Updates,https://app.projectcatalyst.io/proposal/019a9cf6-c23d-7203-b66e-575ea64342a5?version=019aa7ce-b81f-7609-a4c1-1de7f421f306,Coming on Jan 12,019a9cf6-c23d-7203-b66e-575ea64342a5,CoinCashew.io,Oliver Sterzik,Cardano Open: Ecosystem,"60,000 $ADA",Education
CoinCashew Guide - Supporting Midnight Block Producers,https://app.projectcatalyst.io/proposal/019aa716-4db2-7bbd-bade-de01f3d70d30?version=019aa837-073b-7b06-b1c9-37dce230215d,Coming on Jan 12,019aa716-4db2-7bbd-bade-de01f3d70d30,CoinCashew.io,Oliver Sterzik,Cardano Open: Ecosystem,"60,000 $ADA",Education
Compact Cardano Blockchain Voting Tool,https://app.projectcatalyst.io/proposal/019ac271-44a2-7856-a93d-7a9393cf6b0d?version=019ac284-c533-7642-884a-956c283e8c3e,Coming on Jan 12,019ac271-44a2-7856-a93d-7a9393cf6b0d,Unified Cardano Student Club,Unified Cardano Student Club,Midnight: Compact DApps,"10,000 $USDM ",Governance
Compact SmartContracts: Build dApps on Midnight,https://app.projectcatalyst.io/proposal/019aa1ec-c242-7fed-bb57-2024c3b0dfd2?version=019abae1-789a-7cd8-a0fc-1b56621c6ff9,Coming on Jan 12,019aa1ec-c242-7fed-bb57-2024c3b0dfd2,LTP Lab,LTP Lab,Cardano Open: Ecosystem,"36,000 $ADA",Education
CompliancePay: Public Grant & Private Payment Reference DApp,https://app.projectcatalyst.io/proposal/019ac09f-b326-7e9e-b8e6-dab8ada47522?version=019ac14d-ed31-7dc0-b75b-575153f85185,Coming on Jan 12,019ac09f-b326-7e9e-b8e6-dab8ada47522,Elementary Software,Andre Brunsal,Midnight: Compact DApps,"10,000 $USDM ",Governance
Concentrated Liquidity Pools (CLP) for Cardano,https://app.projectcatalyst.io/proposal/019abe08-d6cf-76f1-9557-a424a5216d37?version=019ac3b8-5011-754c-b8bf-58fc1cf1c32d,Coming on Jan 12,019abe08-d6cf-76f1-9557-a424a5216d37,Hai Phan,Hai Phan Phung,Cardano Use Cases: Prototype & Launch,"182,000 $ADA",DeFi
"Connect dReps, SPOs, and delegates through on-chain socials!",https://app.projectcatalyst.io/proposal/019ac094-13f1-77a4-a16e-be420da9282f?version=019ac322-ff31-7f21-8007-672038bbbd72,Coming on Jan 12,019ac094-13f1-77a4-a16e-be420da9282f,Atrium Lab,Atrium Lab Inc.,Cardano Use Cases: Prototype & Launch,"195,000 $ADA",Infrastructure
CredentialZK: zkTLS-Powered Academic Verification,https://app.projectcatalyst.io/proposal/019ac29b-643f-7349-91e2-bafee307b57d?version=019ac2d3-4a38-7343-b7b2-aca21bdbc3cf,Coming on Jan 12,019ac29b-643f-7349-91e2-bafee307b57d,0x0x0x,Zierold Ventures,Midnight: Compact DApps,"10,000 $USDM ",Identity & Verification
CrowdFunding Portal offering VentureFund DAOS & Tokenization,https://app.projectcatalyst.io/proposal/019abd22-b624-7e61-af9b-c0b5536d25e7?version=019ac307-6245-7fbe-bd0e-4bb2ce124e9f,Coming on Jan 12,019abd22-b624-7e61-af9b-c0b5536d25e7,snarkyjabs,Jacob Schofield,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Tokenization
Crypto Hub Proposal - Catalyst,https://app.projectcatalyst.io/proposal/019abf3e-a142-703a-989b-d8901a865812?version=019ac258-21dc-7814-8fb7-11bff9260260,Coming on Jan 12,019abf3e-a142-703a-989b-d8901a865812,Web3 Devs Underground,Web3 Devs Underground Commnity,Cardano Open: Ecosystem,"60,000 $ADA",Community Outreach
CS-Code: Web-IDE scaffolder for onchain and offchain code,https://app.projectcatalyst.io/proposal/019ac2ee-5475-7422-b5f3-1b208ca737e6?version=019ac3af-35ac-7448-bcfe-eab7ef31b98a,Coming on Jan 12,019ac2ee-5475-7422-b5f3-1b208ca737e6,BlockPrint official,BlockPrint io,Cardano Use Cases: Prototype & Launch,"80,000 $ADA",Developer Tools
CSWAP x Bitcoin: $BTC Staking Platform for Cardano & Sundial,https://app.projectcatalyst.io/proposal/019ab336-fed9-7a77-8c07-4f21ec6d3da3?version=019abe18-9e44-7ad4-a3ce-44ad6f84f814,Coming on Jan 12,019ab336-fed9-7a77-8c07-4f21ec6d3da3,CSWAP - Jon Kravetz,Jon Kravetz,Cardano Partners: Tier-1 Enterprise Integrations,"400,000 $ADA",Interoperability
CSWAP x Saga DAO: Connecting Cardano to 200k+ Solana Users,https://app.projectcatalyst.io/proposal/019ab858-b508-7693-acdc-42a365b8b6e7?version=019abf14-0779-7f84-9f21-f27a1526f752,Coming on Jan 12,019ab858-b508-7693-acdc-42a365b8b6e7,CSWAP - Jon Kravetz,Jon Kravetz,Cardano Partners: Tier-1 Enterprise Integrations,"300,000 $ADA",Cross-chain
d-FCT: Decentralized Fact-Checking Toolkit (Phase 2),https://app.projectcatalyst.io/proposal/019abaf4-7ecf-7543-9bfa-c6e1ab4e4094?version=019abbfb-c330-7082-a673-1997516e2316,Coming on Jan 12,019abaf4-7ecf-7543-9bfa-c6e1ab4e4094,MOBR Systems,MOBR Systems,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",RWA
"D4E - DAO for Enterprise, for Everyone",https://app.projectcatalyst.io/proposal/019ab934-95f5-740b-9e0e-cb9512897298?version=019abed5-2784-7738-bffe-6147da8c053e,Coming on Jan 12,019ab934-95f5-740b-9e0e-cb9512897298,VietCardanoCommunity,VCC lab,Cardano Use Cases: Prototype & Launch,"83,765 $ADA",DAO
Dano AI - Build Cardano DApps in Minutes | Vibe Code Cardano,https://app.projectcatalyst.io/proposal/019ac272-e205-71fa-b321-dd140ecb3995?version=019ac2a6-da7f-7e69-9f63-10a695889cce,Coming on Jan 12,019ac272-e205-71fa-b321-dd140ecb3995,DanoAI,Sudeep Rattan,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",AI
Data Infra + FlipsideAI Blockchain Intelligence Platform,https://app.projectcatalyst.io/proposal/019ac069-5d0b-7aec-a635-87b4278f939f?version=019ac213-bd4e-71a4-b471-af8dd844c954,Coming on Jan 12,019ac069-5d0b-7aec-a635-87b4278f939f,Flipside Crypto,Flipside Crypto,Cardano Partners: Tier-1 Enterprise Integrations,"725,000 $ADA",AI
"Datum Explorer: Smart, Clean, Human-Readable On-Chain Data",https://app.projectcatalyst.io/proposal/019ac186-4a65-771e-a5d2-089e29173f1b?version=019ac1ac-be36-7598-8d01-e60ebbc964c8,Coming on Jan 12,019ac186-4a65-771e-a5d2-089e29173f1b,WingRiders,Ronan Kuczaj,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Developer Tools
DCA Automate - The Cardano DCA Engine powered by AI,https://app.projectcatalyst.io/proposal/019aa48a-3e76-73a9-98a4-139fad594717?version=019abe07-8e5f-7504-abe5-1fb84c02dace,Coming on Jan 12,019aa48a-3e76-73a9-98a4-139fad594717,Jing Hu,Jing Hu,Cardano Use Cases: Prototype & Launch,"90,000 $ADA",Smart Contracts
DCU : Decentralized Credit Unions Toolkit on Cardano,https://app.projectcatalyst.io/proposal/019ac368-e624-7e73-aeee-d4c2feaa01a0?version=019ac3d1-cb81-73ff-8de9-6ca21baac289,Coming on Jan 12,019ac368-e624-7e73-aeee-d4c2feaa01a0,Wesh,Tx Meta Ltd,Cardano Use Cases: Prototype & Launch,"100,000 $ADA",Developer Tools
DecentGigs,https://app.projectcatalyst.io/proposal/019a95e2-c7cc-745c-9ed5-f410543e643e?version=019ac3b2-88b7-7d18-a67c-f724417425da,Coming on Jan 12,019a95e2-c7cc-745c-9ed5-f410543e643e,Tutut Indah,Tutut Indah R,Cardano Use Cases: Prototype & Launch,"120,000 $ADA",Marketplace
Decentralize Crypto Launchpad on Midnight,https://app.projectcatalyst.io/proposal/019aa2a6-b883-7603-9092-55a6dbfcc30d?version=019ac298-497e-7397-8626-fab33a46e971,Coming on Jan 12,019aa2a6-b883-7603-9092-55a6dbfcc30d,Tech Martins,Joseph Martins,Midnight: Compact DApps,"10,000 $USDM ",DeFi
Decentralized Governance Loan MVP: 100k ADA Lending for GAs,https://app.projectcatalyst.io/proposal/019aba36-50ff-70ba-91c7-8f04c67f7be7?version=019ac076-4f13-7203-82ce-25de9cfeeff2,Coming on Jan 12,019aba36-50ff-70ba-91c7-8f04c67f7be7,Long Ho,Ho Duy Long,Cardano Use Cases: Prototype & Launch,"81,000 $ADA",Governance
Decentralized KYC-as-a-Service Marketplace,https://app.projectcatalyst.io/proposal/019ab243-b85d-73b8-a4ec-94bb9e62f368?version=019ac2a3-e1e6-7c07-9b68-1d34d57c79fc,Coming on Jan 12,019ab243-b85d-73b8-a4ec-94bb9e62f368,Barnabas,Barnabas Zakariya,Cardano Use Cases: Prototype & Launch,"55,000 $ADA",Privacy
decentralized LMS: Training and Certification ledger,https://app.projectcatalyst.io/proposal/019a9ac5-7672-720e-9187-427171dff8bd?version=019abf1e-84e7-7360-b5c0-8ab590366991,Coming on Jan 12,019a9ac5-7672-720e-9187-427171dff8bd,dLMS knowledge ledger,Santanu Chatterjee,Cardano Use Cases: Prototype & Launch,"75,000 $ADA",Training
Decentralized Stablecoin Protocol On Midnight,https://app.projectcatalyst.io/proposal/019a80d6-20af-7733-8416-35ef431f33a2?version=019ac253-a7c1-7549-a622-fec0278f406d,Coming on Jan 12,019a80d6-20af-7733-8416-35ef431f33a2,Musalawal,Lawal Musa Agah,Midnight: Compact DApps,"10,000 $USDM ",Stablecoin
DeltaDeFi  - Hydra Trading Vault for Liquidity Providers,https://app.projectcatalyst.io/proposal/019a9b2e-f9b0-7f30-8150-d2381fab09ae?version=019ac08c-2653-7d8c-902d-f35bfab7f8bb,Coming on Jan 12,019a9b2e-f9b0-7f30-8150-d2381fab09ae,DeltaDeFi,DeltaDeFi,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",DEX
DeltaDeFi - Integrated Hydra Trading Data Platform,https://app.projectcatalyst.io/proposal/019ab40b-d3da-75fa-97f6-1b7ac81d50eb?version=019ac088-791c-7f9e-938b-9890f21435bc,Coming on Jan 12,019ab40b-d3da-75fa-97f6-1b7ac81d50eb,DeltaDeFi,DeltaDeFi,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",DEX
Deploy Nodes in 60s: Sumbu NodeOS for Coolify,https://app.projectcatalyst.io/proposal/019ac116-3176-7e01-af76-e871ed07de64?version=019ac3d3-54c7-7884-ab01-ff13dbd0fecc,Coming on Jan 12,019ac116-3176-7e01-af76-e871ed07de64,Giga Hidjrika Aura Adkhy,Sumbu Labs (PT Sumbu Inovasi Digital),Cardano Use Cases: Prototype & Launch,"100,000 $ADA",Developer Tools
DevX Code & Conquer Series: Powered by Cardano,https://app.projectcatalyst.io/proposal/019ab7c5-c3c6-71a6-80a5-3d91855e519a?version=019ac0a7-c913-7469-bdf3-e4f9f0a4c364,Coming on Jan 12,019ab7c5-c3c6-71a6-80a5-3d91855e519a,Sancti,Blaise Hilary,Cardano Open: Ecosystem,"58,638 $ADA",Training
Diamond Ridge: Plutus AI Dapp builder,https://app.projectcatalyst.io/proposal/019ab59b-fe0f-7db6-8eee-3b1b4d66ac13?version=019ac1e4-20d4-757c-b2cd-1a11b049d1c4,Coming on Jan 12,019ab59b-fe0f-7db6-8eee-3b1b4d66ac13,Oansa,Kamande Muiruri,Cardano Use Cases: Prototype & Launch,"120,000 $ADA",AI
Distributed Block Production for Cardano,https://app.projectcatalyst.io/proposal/019ac0d9-f9d6-739d-9d00-80ae44da8493?version=019ac156-77d0-7c67-ab97-aa98b3a0e9bb,Coming on Jan 12,019ac0d9-f9d6-739d-9d00-80ae44da8493,hendrik,PolyCrypt,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",Security
Doctor Appointment Scheduling,https://app.projectcatalyst.io/proposal/019abf90-a556-7d3f-84a2-c2490b9722a9?version=019ac1bd-d45e-70b0-9916-3ccca9422d4f,Coming on Jan 12,019abf90-a556-7d3f-84a2-c2490b9722a9,Arek,Arkadiusz Konior,Midnight: Compact DApps,"10,000 $USDM ",Healthcare
Dots.eco API to 1B gamers on-chain. For Scopely.com & alike.,https://app.projectcatalyst.io/proposal/019ab639-caef-753b-a260-4a4ca29564eb?version=019ac227-1477-7314-8921-5406784fdaa1,Coming on Jan 12,019ab639-caef-753b-a260-4a4ca29564eb,Nadav,Nadav Grosz,Cardano Partners: Tier-1 Enterprise Integrations,"650,000 $ADA",Games
Dual Reference dApp: Cardano vs Midnight Privacy Features,https://app.projectcatalyst.io/proposal/019a81a3-9fe0-7dcc-b9f8-1899bb575c06?version=019a8263-8702-7b7a-b836-a5f0a2b88f7b,Coming on Jan 12,019a81a3-9fe0-7dcc-b9f8-1899bb575c06,Marius Georgescu,Marius Georgescu,Midnight: Compact DApps,"10,000 $USDM ",Education
DUBAI ❤️ CARDANO: the hackathon,https://app.projectcatalyst.io/proposal/019abc33-8993-721f-8583-95bda0ea3755?version=019ac0c2-4079-74b7-8988-33c16b840816,Coming on Jan 12,019abc33-8993-721f-8583-95bda0ea3755,NERDCONF,NERDCONF,Cardano Open: Ecosystem,"60,000 $ADA",Hackathons
ECOID: Decentralized SSO Identity Layer Powered by Midnight,https://app.projectcatalyst.io/proposal/019abc88-a6c2-7316-a201-2dd605a78bc0?version=019abd6a-4137-7a79-82c9-7e8ca4aff875,Coming on Jan 12,019abc88-a6c2-7316-a201-2dd605a78bc0,Samuel Efosa-Austin,Samuel Efosa-Austin,Midnight: Compact DApps,"10,000 $USDM ",Identity & Verification
"Economy of AI Agents, powered by Cardano&Deutsche Telekom",https://app.projectcatalyst.io/proposal/019aa69a-2296-7a56-a196-74b46bbbb8f6?version=019ac161-58e0-72b9-a389-965417f874d1,Coming on Jan 12,019aa69a-2296-7a56-a196-74b46bbbb8f6,sasansasan,PolyCrypt GmbH,Cardano Partners: Tier-1 Enterprise Integrations,"700,000 $ADA",AI
Eko Chain; A Proof of Impact Protocol for Circular Economies,https://app.projectcatalyst.io/proposal/019ac34a-aebc-7694-8bc4-8b8819a1ec77?version=019ac398-da22-7bed-b786-0492d81a5881,Coming on Jan 12,019ac34a-aebc-7694-8bc4-8b8819a1ec77,ENACTUS AHMADU BELLO UNIVERSIT,Alfred Itodole,Cardano Use Cases: Prototype & Launch,"200,000 $ADA",RWA
Empowering Ghanaian Youth Through Cardano Blockchain 2.0,https://app.projectcatalyst.io/proposal/019ac234-ccbb-742d-8469-72c90eb1d9d1?version=019ac26e-b50d-79bc-bcf4-24b8396512cb,Coming on Jan 12,019ac234-ccbb-742d-8469-72c90eb1d9d1,mr.harding,Ekow Harding,Cardano Open: Ecosystem,"50,000 $ADA",Community Outreach
Enable Solidity Smart Contracts on Cardano,https://app.projectcatalyst.io/proposal/019ac2fe-2b63-749c-b03c-40bd0c52695f?version=019ac32e-d6c3-7e9c-846b-820adec45694,Coming on Jan 12,019ac2fe-2b63-749c-b03c-40bd0c52695f,VyFinance,Steven Ward (VyFinance),Cardano Use Cases: Prototype & Launch,"135,000 $ADA",Developer Tools
